CycPeptMPDB_ID,Original_Name_in_Source_Literature,Source,Structurally_Unique_ID,SMILES,PAMPA,Normalized_Name,log_path
1045,Compound.1,2015_Wang,5,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,-5.79,Compound.1,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.1.log
1046,Compound.2,2015_Wang,1046,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,-7.05,Compound.2,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.2.log
1047,Compound.3,2015_Wang,1047,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C1=O,-6.96,Compound.3,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.3.log
1048,Compound.4,2015_Wang,2,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,-5.46,Compound.4,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.4.log
1049,Compound.5,2015_Wang,10,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,-5.91,Compound.5,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.5.log
1050,Compound.6,2015_Wang,1050,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,-6.11,Compound.6,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.6.log
1051,Compound.7,2015_Wang,1051,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC1=O,-6.12,Compound.7,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.7.log
1052,Compound.8,2015_Wang,1052,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,-5.89,Compound.8,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.8.log
1053,Compound.9,2015_Wang,1053,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,-6.02,Compound.9,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.9.log
1054,Compound.10,2015_Wang,1054,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,-5.82,Compound.10,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.10.log
1055,Compound.11,2015_Wang,1055,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC1=O,-5.88,Compound.11,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.11.log
1056,Compound.12,2015_Wang,25,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,-6.24,Compound.12,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.12.log
1057,Compound.13,2015_Wang,1057,CC(C)C[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1C,-5.42,Compound.13,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.13.log
1058,Compound.14,2015_Wang,1058,CC(C)C[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1C,-5.95,Compound.14,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.14.log
1059,Compound.15,2015_Wang,1059,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-5.73,Compound.15,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.15.log
1060,Compound.16,2015_Wang,1060,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,-7.0,Compound.16,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.16.log
1061,Compound.17,2015_Wang,1061,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C1=O,-5.82,Compound.17,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.17.log
1062,Compound.18,2015_Wang,1062,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,-6.54,Compound.18,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.18.log
1063,Compound.19,2015_Wang,1063,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,-6.17,Compound.19,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.19.log
1064,Compound.20,2015_Wang,1064,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,-6.23,Compound.20,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.20.log
1065,Compound.21,2015_Wang,1065,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.64,Compound.21,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.21.log
1066,Compound.22,2015_Wang,9,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,-6.96,Compound.22,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.22.log
