CycPeptMPDB_ID,Original_Name_in_Source_Literature,Source,Structurally_Unique_ID,SMILES,PAMPA,Normalized_Name,log_path,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9
7036,L4_3.1.1.1.1,2021_Kelly,7036,CC(=O)N[C@@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)O[C@@H]1C,-6.36,L4_3.1.1.1.1,/home/liuwei/GitHub/Data/pdb_log/2021_Kelly/Kelly_7036.log,train,valid,train,train,train,test,train,train,train,train
6644,L1_7.4.1.4.4.1,2021_Kelly,6644,CC(=O)N1CCC[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.55,L1_7.4.1.4.4.1,/home/liuwei/GitHub/Data/pdb_log/2021_Kelly/Kelly_6644.log,train,train,test,train,train,train,train,train,train,train
1077,Compound.33,2015_Wang,1077,C[C@@H](O)[C@@H]1NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](Cc2cc3ccccc3[nH]2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,-7.05,Compound.33,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.33.log,train,train,train,valid,train,train,train,train,train,train
6751,L1_9.3.4.4.3.2,2021_Kelly,6751,CC(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.3,L1_9.3.4.4.3.2,/home/liuwei/GitHub/Data/pdb_log/2021_Kelly/Kelly_6751.log,train,train,train,train,train,train,train,train,valid,train
4764,hepta_1187,2020_Townsend,4764,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-5.83,hepta_1187,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1187.log,valid,train,train,train,valid,train,train,train,train,train
6798,L2_2.2.2.2.1,2021_Kelly,6798,CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)O[C@@H]1C,-6.78,L2_2.2.2.2.1,/home/liuwei/GitHub/Data/pdb_log/2021_Kelly/Kelly_6798.log,train,train,test,train,valid,train,test,train,train,train
2554,hexa_40,2020_Townsend,2554,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,-5.74,hexa_40,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hexa_40.log,train,train,train,train,train,train,test,train,train,train
3568,hexa_1054,2020_Townsend,3568,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C)C(=O)N1C,-5.4,hexa_1054,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hexa_1054.log,train,train,test,train,valid,train,test,train,test,train
6619,L1_7.2.2.2.1.1,2021_Kelly,6619,CC(=O)N1CCC[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-6.38,L1_7.2.2.2.1.1,/home/liuwei/GitHub/Data/pdb_log/2021_Kelly/Kelly_6619.log,train,train,train,valid,train,train,train,train,train,train
5266,hepta_1689,2020_Townsend,5266,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.51,hepta_1689,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1689.log,train,train,train,train,train,train,train,train,train,train
