CycPeptMPDB_ID,Source,Year,Original_Name_in_Source_Literature,Structurally_Unique_ID,SMILES,Monomer_Length,Molecule_Shape,PAMPA,Caco2,MDCK,RRCK,MolLogP,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,Normalized_PAMPA,Binary,Soft_Label,TPSA,Sequence_TPSA,Sum_Seq_PSA,TPSA_consistence,Normalized_MolLogP,Normalized_TPSA
2,2006_Rezai_1,2006,compound.1,2,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-6.2,,,,2.5477,train,train,train,train,train,train,train,train,train,train,-0.1,0,0.45,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
3,2006_Rezai_1,2006,compound.2,3,CC(C)C[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-7,,,,2.5477,train,train,train,train,train,train,train,train,train,train,-0.5,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
4,2006_Rezai_1,2006,compound.3,4,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,6,Circle,-7.1,,,,2.5477,train,train,train,train,train,valid,train,test,valid,train,-0.55,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
5,2006_Rezai_1,2006,compound.4,5,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-7.2,,,,2.5477,train,train,train,train,train,train,train,train,train,train,-0.6,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
6,2006_Rezai_1,2006,compound.5,6,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,6,Circle,-7.3,,,,2.5477,train,train,train,train,train,train,train,train,valid,train,-0.65,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
7,2006_Rezai_1,2006,compound.6,7,CC(C)C[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-7.3,,,,2.5477,train,train,valid,train,train,train,test,train,test,train,-0.65,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
8,2006_Rezai_1,2006,compound.7,8,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,6,Circle,-7.3,,,,2.5477,train,train,train,train,train,train,train,train,train,valid,-0.65,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
9,2006_Rezai_1,2006,compound.8,9,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-8.1,,,,2.5477,train,train,train,train,train,train,train,train,train,train,-1,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
10,2006_Rezai_1,2006,compound.9,10,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-8.1,,,,2.5477,train,train,train,train,train,train,train,train,train,train,-1,0,0,186.04,"[29.1, 29.1, 29.1, 29.1, 20.31, 49.33]",186.04,TRUE,0.116047932,-0.578254083
11,2006_Rezai_2,2006,compd.3,11,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,6,Circle,-6.47,,,,2.8507,train,valid,test,train,train,train,train,test,train,train,-0.235,0,0.3825,175.04,"[38.33, 20.31, 29.1, 29.1, 29.1, 29.1]",175.04,TRUE,0.177645254,-0.662009365
